date,title
1986-04-17,Falling Oil Prices Spur Strong Surge In Market Trading 
1986-04-18,Opec Ministers Cant Agree On Instant Production Cuts 
1986-04-19,Us Oil Production Drops Off 
1986-04-20,Good Oil On Petrol 
1986-04-21,Its Tough To Buy Just One Barrel Of Oil 
1986-04-21,Purchasing A Barrel Of Oil Not Easy 
1986-04-22,Even If You Could Buy A Barrel Of Oil Couldnt Find A Use 
1986-04-23,12 The Portsmouth Dirty Times Tuesday April Lose Price 
1986-04-24,Oil Profits Rise For Exxon And Sun Decline For Shell 
1986-04-24,Shell Bp Blame Oil Price Plunge For Slashed Profits 
1986-04-24,State Wins Debate Over Oil Earnings 
1986-04-24,What Our Cheap Oil Really Costs 
1986-04-25,Cheap Oil Will Be Costly In The Long Run 
1986-04-25,Empty Pockets Seem To End Oil Industrys Golden Dreams 
1986-04-26,Bargain Hunters Eying Oil Stocks 
1986-04-26,Refining Helps Oil Companies Weather Crude Price Collapse 
1986-04-27,Few Fortunate Some Oil Firms Show Gain Despite Glut 
1986-04-27,Oilman Ray Stiglitz Says The Low Price Of Crude Will Hurt 
1986-04-27,Senator Us Selling Oil At Low Prices 
1986-04-27,Us Oil Reserve Still Important 
1986-04-28,Notice To Oil Producers Public Offer By Northridge 
1986-04-28,Oil Stocks Looking For The Bottom I Hot Currier 
1986-04-28,Oil Stocks No Bargain Experts Say 
1986-04-29,Corporate Earnings Decline 
1986-04-30,Ipac Wants Alberta To Boost Oil Price 
1986-04-30,Our Oil Reserve 
1986-05-01,Falling Oil Prices Could Help Profits 
1986-05-01,Oil Price Drop Helping Farmers 
1986-05-01,Rut Or Oil Slide Could Both Help Hurt Farmers 
1986-05-02,What Having Cheap Oil Really Costs 
1986-05-03,Oil Production Pushed 
1986-05-03,Texaco Canada Plans To Cut Capital Spending 
1986-05-04,Chernobyl Disaster Accelerates Oil Prices 
1986-05-04,Crude Oil Futures At 9Week High 
1986-05-04,Oil Sands Workers Are Pulling Up Stakes 
1986-05-05,Farm Scene Lower Oil Prices May Cause Future Shocks 
1986-05-05,Texaco Cuts Costs 
1986-05-06,Oil Price Drop May Cause Future Shock 
1986-05-07,Cheap Crude May Force Rise In Oil Imports 
1986-05-07,East May Use Foreign Oil Again 
1986-05-07,What Cheap Oil Really Costs 
1986-05-08,Low Cost Foreign Oil May Beat Out Alberta Crude 
1986-05-08,Oil Prices Move Above 15 A Barrel 
1986-05-09,Us May Ban Products Made With Libyan Oil 
1986-05-09,Us Moves To Ban Libyan Oil Products 
1986-05-10,Short Supplies Rising Demand For Gasoline Drive Up Prices 
1986-05-11,Drop In World Oil Prices Could Cause Problems 
1986-05-11,Low Oil Prices Spur Growth 
1986-05-11,Us Gasoline Price Rise Seen For Summ 
1986-05-12,Gas Prices Increasing At Pump 
1986-05-12,Gasoline Prices Take Unprecedented Climb By Jerry Buck 
1986-05-12,Summer Gasoline Prices Seen Down By 28 Cents 
1986-05-13,Expect Summer Gas Prices To Be 280 Less Than In 85 
1986-05-13,Prices For Gasoline This Summer Are Likely To Be Lowest In 
1986-05-13,Report Summer Gas Prices Lowest Since 79 
1986-05-14,Inflation To Tall Output Grow In 87 
1986-05-15,Increasing Crude Hurts Oil Futures 
1986-05-15,Minister Defends Cleanup Procedure For Northern Oil Spill 
1986-05-16,Wholesale Prices Dip Again 
1986-05-17,Memorial Day Preparations Push Fuel Prices Beyond 16 Barrier
1986-05-18,Oil Futures Close Above 16 
1986-05-20,Demand For Gasoline Lifts Us Crude To 3Month High 
1986-05-20,Iran Reduces Oil Shipments 
1986-05-20,North Sea Oil Prices Up 
1986-05-20,Prices Of Oil Futures Top 17 A Barrel 
1986-05-21,Drivers Will Enjoy Low Gas Prices 
1986-05-21,Gas Prices At Pump Are Down 28 Cents 
1986-05-21,Oil Prices Drop Below 16 A Barrel 
1986-05-21,Oil Prices Fall To 16 A Barrel In Heavy Trading 
1986-05-21,Oil Prices Tumble Over 1 A Barrel Quick Drop Wipes Lout 
1986-05-21,Sharp Plunge In Oil Prices Halts Rally 
1986-05-21,Volatile Trading Drops Oil Prices To 16 A Barrel 
1986-05-22,Crude Oil Futures Prices Drop Below 
1986-05-22,Lower Oil Prices Help Some Firms Not Others 
1986-05-22,Taxes Values Confidence Fall With Oil Prices 
1986-05-24,The Oil Outlook Low Prices Could Undermine Nations Energy 
1986-05-25,Experts Predict Grim Future For Oil 
1986-05-25,Headed For A New Energy Shock Lower Prices Spur Fears 
1986-05-25,Lower Oil Prices Raise Fears Of Future Energy Shock 
1986-05-25,Oil Price Drop There Could Be Trouble Ahead 
1986-05-25,Will Low Oil Prices Spur Fuel Shock Some Analysts Fear 
1986-05-26,Gas Prices Up Some As Market Follows Tradition 
1986-05-27,New York Oil Price Gains May Be Temporary 
1986-05-27,Saudi Minister Expects Sharply Rising Oil Prices 
1986-05-27,Saudi Minister Predicts OilPrice Rise Energy Crisis 
1986-05-27,Saudi Oil Minister Predicts Price Rise 
1986-05-27,Saudi Oil Minister Warns Of Enerqv Crisis 
1986-05-27,Sharp Rise In Oil Prices Expected 
1986-05-27,Sheik Predicts Oil Crisis Will Hit Within Few Years 
1986-05-27,Yamani Predicts OilPrice Jump Crisis In Energy 
1986-05-28,Southland Corps decision to sell 50 percent of Citgo
1986-05-29,Few Companies Benefit From Plunge In Oil Costs 
1986-05-30,Albertas Crude Oil Reserves Increase Slightly 
1986-05-30,Crude Oil Prices Fall 
1986-05-30,Slight Change Reported In Oil Gas Reserves 
1986-05-30,Will Lower Oil Prices Now Mean Problems Later 
1986-05-31,Cheap Oil May Bode Ill For Domestic Production 
1986-06-01,Despite Glut A Barrel Of Oil Is Rare By Ken Herman 
1986-06-03,Oil Companies To Pay 25 Million 
1986-06-03,Oil Glut May Help Us Fight Libyan Sales 
1986-06-04,Warning Sounded Of Possible Future Energy Shocks 
1986-06-05,Bulging Oil Stocks Uiup Energy Futures 
1986-06-05,Japan Changing Oil Market Attitude 
1986-06-05,Price Of Crude Oil Dips Briefly Below 13 Us 
1986-06-07,Oil Drops Below 13 A Barrel For First Time In Six Weeks 
1986-06-12,Crude Oil Recovery Helps Toronto Gain 
1986-06-12,Oil Prices Rebound Despite Predictions 
1986-06-12,Oil Prices Spurt Unexpectedly 
1986-06-12,Plunge In Oil Prices Battering Some Debtor Nations 
1986-06-14,Energy Futures In Slump 
1986-06-15,A Crude Problem Buying A Barrel Of Oi A Bargain Is A 
1986-06-15,Charles Osgood A Crude Problem Buying A Barrel Of Oil A 
1986-06-17,Energy Futures Hurt By Opec New 
1986-06-17,Talk Of Surplus Oil Sinks Energy Prices 
1986-06-18,Diamond Shamrock Finds Oil Pool 
1986-06-19,Prices Of Gasoline Futures Still Falling 
1986-06-23,Little Hope Seen For Opec Agreement 
1986-06-23,New Opec Talks Set But Analysts Gloomy 
1986-06-23,Oil Price Slump Robs Third World Of 70bn 
1986-06-25,Opec Discord Sinks Oil Futures Prices 
1986-06-27,No Panic Over Wider Trade Gap City Av Comment Kowski Martin
1986-06-28,Oil Price Slump Has An Impact On California 
1986-06-29,Oil Futures Market Taking On Added Importance 
1986-06-29,Opec Ministers Near Agreement 
1986-06-30,Oil Prices May Trigger Energy Shock 
1986-07-01,Agree Strategy Presse In Tin Oil Ant Mil Its Output For 
1986-07-01,Crude Oil Prices Slide 
1986-07-01,Forecast Continued Opec Disarray Longer Oil Slump 
1986-07-01,More Disarray In Opec Longer Oil Slump Seen 
1986-07-01,Opec Calls It Quits Again Gasoline Prices May Drop 
1986-07-01,Opec Fails To Pass Plan 
1986-07-01,Opec Failure May Lower Prices 
1986-07-01,Opec Leaders Go Home Without Production Pact 
1986-07-01,Opec Meeting Ends Without Agreements 
1986-07-01,Opec Talks End In Failure Oil Ministers Cant Agree On New 
1986-07-01,Production Keeps Oil Prices Below Opecs Expectations 
1986-07-02,Brings Hope For Oil Exports 
1986-07-07,Gasoline Hits Lowest Price In Seven Years 
1986-07-07,Moves Planned To Stop Oil Buys 
1986-07-08,Dollar Joins Dow In Dramatic Drop 
1986-07-08,Oil Prices Plunge On World Market 
1986-07-08,World Oil Prices Fall Sharply 
1986-07-09,14Billion Oil Settlement Reached 
1986-07-10,Oil Futures Rise In Troubled Industry 
1986-07-10,Opec Boosts Oil Production In Power Play 
1986-07-11,Oil Companies Lower Price They Will Pay For Crude 
1986-07-11,Oil Slick Off Galveston No Threat To Beaches 
1986-07-11,World Digest CrudeOil Prices Reported At Lowest Levels In 
1986-07-12,Companies Cut Price Paid For Crude Oil 
1986-07-12,Oil Firms Cut Crude Prices 
1986-07-12,Producer Prices Hold After Sharp Dip 
1986-07-12,Signals On GasolinePrice Trends Are Mixed 
1986-07-12,Us Majors Cut Crude Price 
1986-07-13,4 Oil Companies Cut Price Of Major American Grade 
1986-07-14,Gas Price Drop Bucks Trend 
1986-07-14,Gas Prices Continue Slide During Summer 
1986-07-14,Gasoline Price Down 296 Cents This Year 
1986-07-14,Gasoline Prices Continue Rare Summertime Slide 
1986-07-14,Oil Price Drops 
1986-07-14,Price Of Gas Keeps Falling 
1986-07-14,Price Of Gasoline Continues Falling 
1986-07-14,The Increase Is An Effort To Try To Bolster The Mexican Economy
1986-07-15,As Opec Production Swells Global Surplus North Sea Oil 
1986-07-15,Big Oil Pushes Gas Groceries 
1986-07-15,Energy Futures Surge In Record Trading 
1986-07-15,North Sea Oil Dips To 9 Per Barrel 
1986-07-15,North Sea Oil Price Hits A Barrel 
1986-07-15,Oil Prices Fall Further Decline Seen Bv Lee A Daniels 
1986-07-15,Oil Prices Tumbling To Record Lows 
1986-07-15,Price Of Gasoline Keeps Falling Experts Say Trend Will 
1986-07-16,Downward Spiral For Oil Prices Will Go On 
1986-07-16,Energy Futures Shoot Up 
1986-07-16,Heaper Oil Will Benefit Consumers 
1986-07-17,Gas Prices To Rise Experts Predict 
1986-07-17,Oil Firms Struggling For Survival 
1986-07-17,Oil Imports Up Highest Since February 81 
1986-07-18,Petrol Price Drop Swallowed Up By Increased Costs 
1986-07-19,Hot Weather Scare Stirs Grain Markets 
1986-07-20,Oil Prices Rise Moderately 
1986-07-20,Prices Rebound Despite Oil Glut 
1986-07-21,Oil Posts Moderate Gains 
1986-07-22,Cost Of Heating Oil Predicted To Stay Low 
1986-07-22,Decision Deferred On Oil Parity Price 
1986-07-22,Lower Gasoline Prices Are Good News For Most Canadians But 
1986-07-22,Oil Price Increase Linked To Demand 
1986-07-22,Oil Prices Are Still On Rebound Despite Cutback 
1986-07-22,Oil Prices Rebound Despite The Glut 
1986-07-22,Saudi Arabia Kuwait Spearhead Drive To Shore Up Oil Price
1986-07-22,Speculation Over Opec Triaaers Rise In Oil Prices 
1986-07-23,Dropping Oil Prices May Claim 142000 Jobs 
1986-07-23,Heating Oil Prices Likely To Drop Again 
1986-07-23,Imperial Oils Profit Plunges 
1986-07-23,Low Oil Prices Cost Cuts Reduce Earnings 
1986-07-23,Lowest Heating Bills In Years Likely Due To Drop In Oil Prices 
1986-07-23,Oil Industry To Lose Jobs 
1986-07-23,Oil Prices Nosedive 
1986-07-23,Small Producers Driven From Oil Patch By Low Prices 
1986-07-24,Winter Heat Cost May Warm Hearts 
1986-07-25,Local Gasoline Prices Falling Again Dip Below 60 Cents At 
1986-07-25,Political Hopeful Accuses Oil Companies Of Gouging 
1986-07-25,Standard Oil Reports Quarterly Loss 
1986-07-26,Gas Prices Fall In July 
1986-07-28,Opec Mfmsftrs Facing Crisis 
1986-07-29,Opec Cuts Oil Production 
1986-07-30,Low Prices Will Halt Onshore Oil Exploration Warn Oilmen 
1986-07-31,Another Energy Crisis Called Inevitable 
1986-07-31,Taxes Keep Gasoline Prices High 
1986-08-01,Petroleum Firms Expect Big Cuts 
1986-08-04,Bass Crude Exports Resume 
1986-08-05,Action May Hike Gas Prices 
1986-08-05,Crude Oil Prices Jump As Opec Nations Reach Accord On Cuts
1986-08-05,Follows Lead Mexico Plans Export Cuts On Crude Oil 
1986-08-05,French Oil Cos Halt Purchase Of Libyan Crude 
1986-08-05,Opec Accord Creates Sharp Boost In Prices 
1986-08-05,Opec Action Could Mean Higher Prices For Gasoline 
1986-08-05,Opec Nations Accept Quota Oil Prices Rise 
1986-08-05,Opecs Decision Gives Boost To Oil Prices 
1986-08-06,Crude Oil Prices Soar After Announcement Opec Agrees To Cut 
1986-08-06,Crude Oil Prices Soar Us Gas Prices Pushed Up 
1986-08-06,Fall Oil Futures Jump In Heavy Trading 
1986-08-06,Follows Try Lead Mexico Plans Export Cuts On Crude Oil 
1986-08-06,Fuel Cost Changes At Present Uncertain 
1986-08-06,Inventory Report Drops Oil Prices 
1986-08-06,Oil And Gas Prices Increase Sharply Trading Is Volatile 
1986-08-06,Oil Cut Nut Could Help Us Nroducers 
1986-08-06,Oil Drops But Pump Rise Likely 
1986-08-06,Oil Price Surge Follows Opecs Surprise Treaty 
1986-08-06,Oil Prices Soaring But Some Analysts Doubt Opecs 
1986-08-06,Opec Action Could Push Gas Prices Up Opec Agrees To Curb 
1986-08-06,Opec Casts Lifeline To Us Oil Administration Oil Prices 
1986-08-06,Opec Cutback Boosts Pound Shares And Oil 
1986-08-06,Opec Moves To Pump Up Gas Prices 
1986-08-06,Opec Oil Output Limits Shouldnt Hurt Us 
1986-08-06,Opec OilProduction Cut Shouldnt Hurt Us Economy 
1986-08-06,Reagan Orders More Crude For Reserve 
1986-08-06,Some Predict Rise In Price Of Gasoline 
1986-08-06,The Blade Toledo Ohio Oil Prices Rise As Opec Agrees To Cuts
1986-08-07,As Us Inventories Show Unexpected Reserves Oil Prices 
1986-08-07,Big Us Crude Stock Halts Oil Price Rise 
1986-08-07,Exports Of Bass Strait Oil Resume 
1986-08-07,Gasoline Prices Should Remain Low For A While 
1986-08-07,Industry Leaders Differ On Oil Price 
1986-08-07,Oil Companies Increase Payout On Crude 
1986-08-07,Oil Prices Decline After OneDay Rise 
1986-08-07,Oil Prices Dip As Report Unexpectedly High Inventories 
1986-08-07,Oil Prices Retreat In World Market 
1986-08-07,Oil Reserves Need Filling 
1986-08-07,President Endorses Stockpiling Crude Oil To 750 Million Barrels
1986-08-07,Reagan Wants Us To Build Oil Stockpiles 
1986-08-07,Us Oil Inventory Report Restrains Prices 
1986-08-08,Canadian Oil Prices Dont Need To Increase This Year 
1986-08-08,Opec Price Truce Is Shaky 
1986-08-08,Shocked By Oil Price Slump 
1986-08-08,Sudden Rise In Spot Oil Prices Worries Refiners 
1986-08-09,No Gas Price Hike Needed This Year 
